sample_ID,mapped_percent
PERE_P16-10,0.0000
PERE_P16-11,0.0000
PERE_P16-12,0.0000
PERE_P16-130,0.0000
PERE_P16-13,0.0000
PERE_P16-14,0.0000
PERE_P16-15,0.0000
PERE_P16-16,0.0000
PERE_P16-17,0.0000
PERE_P16-18,0.0000
PERE_P16-19,0.0000
PERE_P16-1,0.0000
PERE_P16-20,0.0000
PERE_P16-21,0.0000
PERE_P16-22,0.0000
PERE_P16-23,0.0000
PERE_P16-24,0.0000
PERE_P16-25,0.0000
PERE_P16-26,0.0000
PERE_P16-27,0.0000
PERE_P16-28,0.0000
PERE_P16-29,0.0000
PERE_P16-2,0.0000
PERE_P16-30,0.0000
PERE_P16-31,0.0000
PERE_P16-32,0.0000
PERE_P16-33,0.0000
PERE_P16-34,0.0000
PERE_P16-35,0.0000
PERE_P16-36,0.0000
PERE_P16-37,0.0000
PERE_P16-38,0.0000
PERE_P16-39,0.0000
PERE_P16-3,0.0000
PERE_P16-40,0.0000
PERE_P16-42,0.0000
PERE_P16-43,0.0000
PERE_P16-44,0.0000
PERE_P16-46,0.0000
PERE_P16-47,0.0000
PERE_P16-48,0.0000
PERE_P16-4,0.0000
PERE_P16-50,0.0000
PERE_P16-52,0.0000
PERE_P16-53,0.0000
PERE_P16-54,0.0000
PERE_P16-55,0.0000
PERE_P16-56,0.0000
PERE_P16-57,0.0000
PERE_P16-58,0.0000
PERE_P16-5,0.0000
PERE_P16-6,0.0000
PERE_P16-71,0.0000
PERE_P16-7,0.0000
PERE_P16-82,0.0000
PERE_P16-8,0.0000
PERE_P16-9,0.0000
PERE_P16-131,0.0001
PERE_P16-132,0.0001
PERE_P16-142,0.0001
PERE_P16-311,0.0001
PERE_P16-313,0.0001
PERE_P16-316,0.0001
PERE_P16-317,0.0001
PERE_P16-318,0.0001
PERE_P16-70,0.0001
PERE_P16-141,0.0002
PERE_P16-74,0.0002
PERE_P16-284,0.0003
PERE_P16-304,0.0003
PERE_P16-315,0.0003
PERE_P16-320,0.0003
PERE_P16-340,0.0003
PERE_P16-89,0.0003
PERE_P16-133,0.0004
PERE_P16-60,0.0004
PERE_P16-86,0.0004
PERE_P16-161,0.0005
PERE_P16-277,0.0005
PERE_P16-300,0.0005
PERE_P16-305,0.0005
PERE_P16-91,0.0005
PERE_P16-283,0.0006
PERE_P16-299,0.0006
PERE_P16-310,0.0006
PERE_P16-207,0.0007
PERE_P16-298,0.0007
PERE_P16-314,0.0007
PERE_P16-357,0.0007
PERE_P16-105,0.0008
PERE_P16-312,0.0008
PERE_P16-359,0.0008
PERE_P16-100,0.0009
PERE_P16-170,0.0010
PERE_P16-119,0.0011
PERE_P16-279,0.0011
PERE_P16-332,0.0011
PERE_P16-138,0.0012
PERE_P16-160,0.0013
PERE_P16-295,0.0013
PERE_P16-303,0.0013
PERE_P16-339,0.0013
PERE_P16-95,0.0013
PERE_P16-159,0.0014
PERE_P16-337,0.0016
PERE_P16-294,0.0017
PERE_P16-213,0.0019
PERE_P16-319,0.0020
PERE_P16-285,0.0021
PERE_P16-347,0.0022
PERE_P16-63,0.0022
PERE_P16-281,0.0023
PERE_P16-308,0.0025
PERE_P16-348,0.0029
PERE_P16-286,0.0033
PERE_P16-296,0.0033
PERE_P16-290,0.0034
PERE_P16-65,0.0036
PERE_P16-177,0.0040
PERE_P16-288,0.0040
PERE_P16-329,0.0040
PERE_P16-140,0.0041
PERE_P16-94,0.0041
PERE_P16-280,0.0045
PERE_P16-323,0.0063
PERE_P16-88,0.0063
PERE_P16-242,0.0066
PERE_P16-338,0.0072
PERE_P16-80,0.0082
PERE_P16-272,0.0086
PERE_P16-306,0.0086
PERE_P16-151,0.0089
PERE_P16-209,0.0089
PERE_P16-64,0.0090
PERE_P16-229,0.0095
PERE_P16-292,0.0095
PERE_P16-282,0.0096
PERE_P16-350,0.0106
PERE_P16-249,0.0115
PERE_P16-175,0.0116
PERE_P16-163,0.0117
PERE_P16-345,0.0130
PERE_P16-351,0.0137
PERE_P16-224,0.0139
PERE_P16-289,0.0139
PERE_P16-104,0.0149
PERE_P16-341,0.0152
PERE_P16-293,0.0155
PERE_P16-309,0.0164
PERE_P16-107,0.0185
PERE_P16-172,0.0267
PERE_P16-325,0.0267
PERE_P16-168,0.0277
PERE_P16-149,0.0283
PERE_P16-252,0.0293
PERE_P16-158,0.0296
PERE_P16-354,0.0296
PERE_P16-137,0.0341
PERE_P16-276,0.0367
PERE_P16-250,0.0373
PERE_P16-171,0.0383
PERE_P16-244,0.0406
PERE_P16-110,0.0419
PERE_P16-307,0.0433
PERE_P16-287,0.0447
PERE_P16-302,0.0500
PERE_P16-61,0.0520
PERE_P16-166,0.0526
PERE_P16-330,0.0532
PERE_P16-157,0.0542
PERE_P16-358,0.0542
PERE_P16-233,0.0641
PERE_P16-335,0.0645
PERE_P16-210,0.0662
PERE_P16-321,0.0684
PERE_P16-230,0.0712
PERE_P16-266,0.0786
PERE_P16-356,0.0842
PERE_P16-143,0.0876
PERE_P16-97,0.1016
PERE_P16-336,0.1036
PERE_P16-72,0.1162
PERE_P16-129,0.1286
PERE_P16-128,0.1337
PERE_P16-333,0.1411
PERE_P16-253,0.1416
PERE_P16-83,0.1453
PERE_P16-238,0.1502
PERE_P16-92,0.1600
PERE_P16-256,0.1625
PERE_P16-68,0.1679
PERE_P16-259,0.1723
PERE_P16-120,0.1841
PERE_P16-127,0.1849
PERE_P16-145,0.2081
PERE_P16-144,0.2144
PERE_P16-146,0.2147
PERE_P16-136,0.2162
PERE_P16-239,0.2209
PERE_P16-278,0.2236
PERE_P16-301,0.2548
PERE_P16-297,0.2677
PERE_P16-334,0.2696
PERE_P16-355,0.2873
PERE_P16-102,0.3015
PERE_P16-66,0.3063
PERE_P16-343,0.3122
PERE_P16-221,0.3202
PERE_P16-106,0.3393
PERE_P16-117,0.3405
PERE_P16-150,0.3492
PERE_P16-79,0.3552
PERE_P16-344,0.3558
PERE_P16-273,0.3634
PERE_P16-164,0.3649
PERE_P16-112,0.3741
PERE_P16-264,0.3877
PERE_P16-101,0.3920
PERE_P16-247,0.3988
PERE_P16-234,0.4054
PERE_P16-346,0.4152
PERE_P16-291,0.4635
PERE_P16-99,0.4811
PERE_P16-114,0.4922
PERE_P16-322,0.5271
PERE_P16-118,0.5394
PERE_P16-123,0.5547
PERE_P16-331,0.5875
PERE_P16-255,0.6048
PERE_P16-327,0.6137
PERE_P16-85,0.6236
PERE_P16-126,0.6342
PERE_P16-87,0.6571
PERE_P16-245,0.6612
PERE_P16-162,0.6617
PERE_P16-176,0.6664
PERE_P16-67,0.6667
PERE_P16-103,0.6729
PERE_P16-93,0.7140
PERE_P16-167,0.7320
PERE_P16-324,0.7361
PERE_P16-98,0.7380
PERE_P16-352,0.7404
PERE_P16-115,0.7489
PERE_P16-263,0.7549
PERE_P16-349,0.7550
PERE_P16-122,0.7610
PERE_P16-62,0.7750
PERE_P16-73,0.7784
PERE_P16-111,0.7803
PERE_P16-271,0.7853
PERE_P16-109,0.8063
PERE_P16-268,0.8161
PERE_P16-225,0.8261
PERE_P16-178,0.8768
PERE_P16-84,0.8817
PERE_P16-174,0.8859
PERE_P16-153,0.8899
PERE_P16-353,0.8908
PERE_P16-360,0.9003
PERE_P16-364,0.9048
PERE_P16-77,0.9065
PERE_P16-328,0.9146
PERE_P16-361,0.9167
PERE_P16-113,0.9284
PERE_P16-155,0.9295
PERE_P16-165,0.9351
PERE_P16-108,0.9368
PERE_P16-275,0.9390
PERE_P16-116,0.9392
PERE_P16-96,0.9455
PERE_P16-135,0.9459
PERE_P16-90,0.9484
PERE_P16-156,0.9568
PERE_P16-78,0.9592
PERE_P16-154,0.9641
PERE_P16-363,0.9706
PERE_P16-152,0.9782
PERE_P16-270,0.9783
PERE_P16-147,0.9816
PERE_P16-362,0.9837
PERE_P16-69,0.9837
PERE_P16-342,0.9888
PERE_P16-75,0.9896
PERE_P16-124,0.9963
PERE_P16-134,0.9972
PERE_P16-148,0.9974
PERE_P16-125,0.9976
PERE_P16-173,0.9978
PERE_P16-248,0.9982
PERE_P16-121,0.9988
PERE_P16-326,0.9990
PERE_P16-169,1.0000
PERE_P16-76,1.0000